scientific_name,city,state,count,mean
Melaleuca quinquenervia,San Jose,California,84,336.5204457142857
Acer negundo,Garden Grove,California,3,328.084
Washingtonia robusta,Garden Grove,California,1788,278.40349496644296
Corymbia maculata,San Jose,California,42,271.8410285714286
Ceiba pentandra,Honolulu,Hawaii,3,259.18636
Araucaria heterophylla,Kaneohe,Hawaii,39,254.39128615384615
Grevillea robusta,Garden Grove,California,48,248.113525
Eucalyptus globulus,San Jose,California,543,245.62797149171274
Pinus canariensis,Garden Grove,California,3147,245.09344766444235
Araucaria heterophylla,Honolulu,Hawaii,108,241.87081555555557
Pinus halepensis,Garden Grove,California,222,240.07768378378378
Eucalyptus cladocalyx,Garden Grove,California,6,237.8609
Afrocarpus usambarensis,Honolulu,Hawaii,6,236.22047999999998
Eucalyptus deglupta,Honolulu,Hawaii,3,232.93963999999997
Platanus racemosa,Garden Grove,California,315,232.4709485714286
Eucalyptus globulus,Garden Grove,California,279,224.543511827957
Araucaria columnaris,Kaneohe,Hawaii,96,223.50722499999998
Populus alba,Sioux Falls,South Dakota,177,222.4854379661017
Morus,Albuquerque,New Mexico,12,222.27691000000002
Torreya californica,San Jose,California,3,213.2546
Melaleuca,Garden Grove,California,6,213.2546
Casuarina equisetifolia,Kaneohe,Hawaii,3,213.2546
Sophora japonica,Garden Grove,California,6,213.2546
Araucaria columnaris,Honolulu,Hawaii,69,211.11492173913044
Carya illinoinensis,Garden Grove,California,9,207.78653333333332
Agathis macrophylla,Kailua,Hawaii,3,206.69292
Corymbia citriodora,Garden Grove,California,399,204.25079097744361
Populus hybrid,Sioux Falls,South Dakota,33,203.41208
Eucalyptus camaldulensis,Garden Grove,California,33,202.81556363636363
Populus deltoides,Oklahoma City,Oklahoma,792,202.2936118181818
Pinus ponderosa,San Jose,California,15,202.09974400000002
Ulmus pumila,Albuquerque,New Mexico,564,200.75948595744683
Eucalyptus leucoxylon,San Jose,California,15,200.13124000000002
Casuarina equisetifolia,Kailua,Hawaii,1032,198.80555174418603
Populus deltoides,Sioux Falls,South Dakota,1536,198.702280390625
Sambucus,Albuquerque,New Mexico,6,198.49082
Populus acuminata,Albuquerque,New Mexico,3,196.8504
Eucalyptus nicholii,Garden Grove,California,6,196.8504
Araucaria columnaris,Garden Grove,California,3,196.8504
Eucalyptus cladocalyx,San Jose,California,3,196.8504
Fraxinus uhdei,Garden Grove,California,87,194.0220896551724
Spathodea campanulata,Kaneohe,Hawaii,72,191.10893
Corymbia citriodora,San Jose,California,3,190.28872
